ID,Group,Date submitted,Q1_time,Q2_time,Q3_time,Q4_time,Q5_time,Q6_time,Q7_time,Q8_time,Q9_time,UndCorr,Q8_files_informed,Q8_files_correct,Q9_files_informed,Q9_files_correct,UndTime,ModTime,ModComp,ModCorr,ModRate
7,ctrl,2023-08-29 18:43:36,1061.73,187.74,523.1,278.56,1666.27,130.77,395.31,821.41,598.59,6,4,2,5,3,4243.48,1420,1.18,1.1,0
10,ctrl,2023-09-07 14:06:00,138.53,7552.34,516.34,254.02,1219.01,724.86,616.59,528.68,1452.53,7,16,7,3,0,11021.69,1981.21,0.64,0.44,0
11,ctrl,2023-09-08 18:30:00,506.59,276.88,281.38,497.62,218.73,523.16,153.2,559.88,249.1,6,17,8,7,1,2457.56,808.98,1.06,0.61,0.01
12,ctrl,2023-09-23 08:21:23,178.23,159.56,935.97,83.24,164.72,96.92,573.77,332.87,261.85,7,13,5,2,2,2192.41,594.72,1.12,1.38,0.01
13,ctrl,2023-09-27 14:07:40,569.43,237.6,1144.95,66.21,1080.09,602.07,642.55,436.27,809.4,7,1,1,2,2,4342.9,1245.67,0.76,2,0
16,ctrl,2023-09-28 17:01:43,33.72,772.01,1016.34,72.76,1415.61,359.39,457.42,1583.48,80.74,2,12,7,0,0,4127.25,1664.22,0.64,0,0
17,ctrl,2023-10-02 19:05:07,180.35,165.05,629.78,75.02,106.76,218.17,232.91,337.44,834.01,5,17,15,2,2,1608.04,1171.45,2.03,1.88,0.01
18,ctrl,2023-10-05 09:20:09,160.89,878,1795.01,712.79,350.76,330.7,800.77,729.99,645.6,7,3,1,2,2,5028.92,1375.59,0.76,1.33,0
3,trtm,2023-08-30 15:11:20,307.28,237.21,470.93,432.9,255.26,198.19,299.43,2921.68,690.39,6,25,25,4,4,2201.2,3612.07,3.61,2,0.01
7,trtm,2023-09-04 19:56:27,918.75,467.1,642.25,96.39,1683.86,552.91,420.43,1035.04,588.46,5,14,14,4,2,4781.69,1623.5,1.94,1.5,0.01
8,trtm,2023-09-05 10:43:04,995.55,346.63,675.26,207.58,123.33,58.68,314.89,2092.5,1565.85,7,16,3,2,2,2721.92,3658.35,0.94,1.19,0
10,trtm,2023-09-12 12:53:16,577.2,1443.14,364.5,506.48,565.39,1112.76,500.3,2099.32,1673,7,11,10,5,5,5069.77,3772.32,2.58,1.91,0
11,trtm,2023-09-18 10:06:35,262.49,3075.58,1089.01,147.67,557.6,431.8,485.11,325.45,1042.08,5,3,3,3,3,6049.26,1367.53,1.27,2,0
12,trtm,2023-09-19 13:49:17,1426.11,725.15,1086.89,100.05,293.57,536.61,205.67,529.25,2374.75,6,7,7,18,8,4374.05,2904,3.3,1.44,0.01
13,trtm,2023-09-20 10:50:50,75.89,317.66,273.45,176.73,167.22,398.73,255.19,560.3,1107.08,7,0,0,3,3,1664.87,1667.38,1,0,0
14,trtm,2023-09-28 13:40:31,34.36,153.47,265.25,168.15,277.54,304.95,295.02,620.17,631.34,7,6,4,4,4,1498.74,1251.51,1.7,1.67,0.01
